@relation training
@attribute tsb real
@attribute ctl real
@attribute atl real
@attribute class {normal, overtrained, undertrained}
@data
1.8969628386360058,5.302167057570277,3.4052042189342715,normal
-67.93831703239806,86.13020664178825,154.0685236741863,overtrained
0.8238119310995788,1.1251610947888595,0.3013491636892806,undertrained
1.4959288347270578,4.38715224091785,2.8912234061907918,normal
-51.38009211351596,84.88529164337467,136.26538375689063,overtrained
0.7139857338796952,1.0469638763056996,0.33297814242600443,undertrained
1.549479090832902,5.383758269189287,3.834279178356385,normal
2.1986603720171107,5.826954519875782,3.6282941478586714,normal
-51.24122158067489,82.88913442282715,134.13035600350204,overtrained
1.0006545589291198,1.2869108743707518,0.28625631544163194,undertrained
1.8140993476620824,4.813779624554068,2.999680276891986,normal
-58.70807799518592,93.02774132365217,151.73581931883808,overtrained
