@relation training
@attribute tsb real
@attribute ctl real
@attribute atl real
@attribute class {normal, overtrained, undertrained}
@data
6.052403888349003E-6,1.8529706839292448E-5,1.2477302950943445E-5,normal
-0.44611696686127217,0.3614855863177788,0.8076025531790509,overtrained
1.1402849204563927E-7,1.3486755332194857E-7,2.0839061276309313E-8,undertrained
9.155795993513514E-6,2.3489225554043912E-5,1.4333429560530399E-5,normal
-0.22154225248117215,0.3098282187558123,0.5313704712369844,overtrained
1.3101409315400976E-7,1.520114335209182E-7,2.0997340366908446E-8,undertrained
3.4783621928274856E-6,1.3537821667854933E-5,1.0059459475027448E-5,normal
-0.30879097554997303,0.5275459726116418,0.8363369481616149,overtrained
1.6234863967402388E-7,1.8443192708190459E-7,2.2083287407880714E-8,undertrained
1.2391113229222733E-5,2.215611488921389E-5,9.765001659991159E-6,normal
-0.23436225125116528,0.302453462548403,0.5368157137995683,overtrained
1.355771406207878E-7,1.561531156398888E-7,2.0575975019101E-8,undertrained
9.903586746917447E-6,2.2671937308458344E-5,1.2768350561540897E-5,normal
-0.30033158312959735,0.391041291159586,0.6913728742891834,overtrained
1.5214593782625716E-7,1.7369015524389948E-7,2.1544217417642327E-8,undertrained
2.9571514321675213E-6,1.519493679974739E-5,1.2237785367579869E-5,normal
-0.1797092971915613,0.37509300418251174,0.554802301374073,overtrained
2.515406824308664E-7,2.726776893593384E-7,2.113700692847197E-8,undertrained
5.050376210020711E-6,1.1437679086512343E-5,6.387302876491633E-6,normal
-0.5753314599439816,0.4751861751499205,1.050517635093902,overtrained
1.9775529945948484E-7,2.197716646872338E-7,2.2016365227748946E-8,undertrained
1.3842381172620406E-5,2.2243276550149768E-5,8.400895377529362E-6,normal
-0.17436758326331386,0.29217702125056305,0.4665446045138769,overtrained
1.5285052679381728E-7,1.7367603877012628E-7,2.0825511976308995E-8,undertrained
5.81917734576135E-6,1.569032942104583E-5,9.871152075284481E-6,normal
-0.24832548221132145,0.34510977208887017,0.5934352543001916,overtrained
1.201085931647975E-7,1.419330120608398E-7,2.1824418896042315E-8,undertrained
7.0403852931417724E-6,2.4270481069366552E-5,1.723009577622478E-5,normal
-0.1931905759408768,0.464999593320024,0.6581901692609008,overtrained
